TIME_GRP,B_NAME,LENGTH_RH_BOW_MM,LENGTH_RH_P_MM,LENGTH_RH_S_MM,TWA_SGP_DEG,TWS_MHU_TM_KM_H_1,BDE_BOAT_RACE_STATUS_UNK,HEADING_DEG,DB_STOW_STATE_P_UNK,DB_STOW_STATE_S_UNK,ANGLE_PILOT_P_R_DEG,ANGLE_DB_CANT_P_DEG,ANGLE_RUDDER_OFFSET_DEG,ANGLE_RUDDER_DEG,ANGLE_FLAP_4_TWIST_DEG,ANGLE_FLAP_1_TWIST_DEG,ANGLE_CA1_DEG,ANGLE_JORAL_P_L_DEG,ANGLE_CA5_DEG,ANGLE_CA6_DEG,ANGLE_FLAP_2_TWIST_DEG,ANGLE_RUD_RAKE_P_DEG,ANGLE_DB_RAKE_P_TARG_DEG,ANGLE_DB_CANT_S_DEG,ANGLE_RUD_AVG_DEG,ANGLE_RUD_DIFF_TACK_DEG,ANGLE_CA1_TARG_DEG,ANGLE_RUD_DIFF_DEG,ANGLE_CA4_TARG_DEG,ANGLE_FLAP_3_TWIST_DEG,ANGLE_JORAL_S_R_DEG,ANGLE_DB_RAKE_S_DEG,ANGLE_CA5_TARG_DEG,ANGLE_DB_RAKE_S_TARG_DEG,ANGLE_WING_TWIST_ABS_DEG,ANGLE_CA2_DEG,ANGLE_WING_TWIST_DEG,ANGLE_RUD_RAKE_P_TARG_DEG,ANGLE_CA6_TARG_DEG,ANGLE_DB_RAKE_LIM_DEG,ANGLE_CA4_DEG,ANGLE_JORAL_S_L_DEG,ANGLE_PILOT_P_L_DEG,ANGLE_PILOT_S_R_DEG,ANGLE_RUD_RAKE_S_TARG_DEG,ANGLE_FLAP_5_TWIST_DEG,ANGLE_JORAL_P_R_DEG,ANGLE_DB_RAKE_S_AOA_DEG,ANGLE_CA2_TARG_DEG,ANGLE_WING_ROT_DEG,ANGLE_PILOT_S_L_DEG,ANGLE_DB_RAKE_P_DEG,ANGLE_RUD_RAKE_S_DEG,ANGLE_DB_RAKE_P_AOA_DEG,ANGLE_CA3_TARG_DEG,ANGLE_CA3_DEG,PK,TIME_SAILED,BOAT_SPEED_KNOTS,FOILING,TIME_FOILING,MANEUVER,MANEUVER_ID,TIME_IN_MANEUVER,LATITUDE,LONGITUDE,BDE_LEG_NUM_UNK
529,GBR,0.658971131,0.557574868,-0.860084832,54.3136233,34.22355194,2,122.4819438,5,1,147.9222401,-10.24980278,68.87200076,66.00804097,6.100228924,5.654300387,-21.14265079,127.0918297,-9.388655943,-3.497347778,0,5.557802621,2.082236743,6.275898828,2.045240383,7.025124476,-21.03945517,7.025124476,-15.24167471,0,282.3090944,6.985237452,-9.249110056,6.999882659,17.64530365,0,17.65557455,5.59102893,-2.789143606,-2.108070226,-15.5383952,28.08149461,86.52967218,108.6784594,-1.499974855,5.901044813,242.4720434,6.716241978,0,21.47257113,278.5297595,2.023632439,-1.467322069,1.754636965,0,0,529-GBR,1,28.92648749,Yes,1,Y,GBR-8,10,32.2920865,-64.8516659,5
544,USA,0.454409271,-0.189593226,-0.530634105,70.96325442,3.749983549,2,122.5929481,5,1,18.41337379,-9.957387013,68.87200076,47.57525578,10.14917872,9.861463836,-20.13929259,126.4326482,-0.128648854,0.133456067,0,6.175036998,7.805805707,6.259585348,2.526764664,7.296544241,-20.13929259,7.296544241,-10.2778279,0,9.514309226,2.970802092,-0.128648854,2.999949711,20.27274936,0,20.27274936,6.331195186,0.133456067,-7.945867274,-10.2778279,4.108950878,350.3375053,22.45640524,-1.03566009,0.262104908,229.1344461,5.911752842,0,5.523588923,100.5923965,7.846817578,-1.12150767,10.78776811,0,0,544-USA,1,0.169770597,Yes,1,N,X,0,32.2883307,-64.8413044,3
574,JPN,0.016605355,-0.084559679,-0.020432165,5.434883549,41.55269623,2,177.0460302,5,1,196.9220309,-10.50513403,68.87200076,74.21941733,-0.106481435,-2.68601586,4.219559815,158.9526815,1.31178927,1.088425649,0,-1.555307499,7.830888723,6.179672562,1.823898498,6.758411993,2.95999225,-6.758411993,2.358593881,0,296.020262,7.025444215,1.888380393,6.999882659,3.131134379,0,-3.082658179,-1.499974855,1.426685218,-5.406909655,1.437413524,89.82562094,17.79813084,116.1932247,5.264343543,-0.29016055,343.569826,7.448436549,0,-2.038921604,17.57840024,7.810440844,5.203104494,8.231621898,0,0,574-JPN,1,0.427560841,No,0,N,X,0,32.2879434,-64.839327,3
580,NZL,1.125226617,0.993666887,1.101243377,-38.39996214,37.2169693,2,215.0434107,1,5,349.1070331,6.268568755,68.87200076,67.91509809,-8.38608065,-6.217100718,21.61618952,240.2308124,7.023316611,-0.82147651,0,-0.607880646,4.999916185,-10.51625358,2.595882123,6.407525538,21.41963887,-6.407525538,15.54366981,0,81.25615142,3.092883826,7.913189941,2.872847147,22.4376649,0,-22.45752026,-0.58391426,-0.777284972,-1.451205277,15.40939683,256.0953201,29.44381853,122.6532859,5.760757423,-7.854340178,226.6295152,2.220514776,0,-17.4691138,315.9717364,4.991438639,5.799644679,4.117188086,0,0,580-NZL,1,29.87220298,Yes,1,N,X,0,32.2918447,-64.8435154,5
584,JPN,0.007759539,0.020077191,-0.020975638,10.6593247,36.8577507,2,162.6762684,5,1,196.9220309,-10.50572228,68.87200076,50.67382915,-0.901674723,-0.594712789,3.04830617,158.974661,1.551918551,1.136179343,0,-1.556672362,7.694309699,6.179378864,1.822537583,-6.758419677,2.95999225,-6.758419677,2.358593881,0,301.0081306,7.025444215,1.888380393,6.999882659,1.912126826,0,-1.912126826,-1.499974855,1.426685218,-4.891918087,2.453593274,89.89154593,17.79813084,116.1932247,5.264343543,-0.415739234,343.6137851,6.921249252,0,3.663955516,17.62234568,7.698202053,5.201747421,7.594016055,0,0,584-JPN,1,1.472021638,No,0,N,X,0,32.287919,-64.8392862,3
588,ESP,0.895239353,0.963590741,0.877768517,77.71556577,87.75399628,2,132.8527665,5,1,306.3475627,-10.33681085,68.87200076,69.33566815,6.20819159,3.905433012,-21.52322381,262.2916951,-11.32145007,-7.883948194,0,6.38241264,3.521059207,6.192666143,2.61089808,7.543028693,-21.45964499,7.543028693,-18.67814949,0,126.4106686,4.989015203,-14.97562689,4.999916185,13.63927562,0,13.31138214,6.3918494,-10.73726143,0.424922263,-17.5574845,133.1783479,15.07347788,243.5926862,-1.108025304,3.197757539,330.5398468,2.177261963,0,74.89154893,278.8373639,1.689692751,-1.160616266,-1.028407069,0,0,588-ESP,1,30.12752806,Yes,1,N,X,0,32.2904157,-64.8500384,5
591,FRA,0.936779916,0.963992655,-0.860676825,-36.15299382,35.62073135,2,214.245426,1,5,303.7987,6.310711022,68.87200076,67.55154761,-8.40943392,-8.584876721,22.16344647,336.2308424,5.178777068,-4.119410032,0,-1.353761209,4.999916185,-10.19888116,2.411738515,7.530999022,21.99956633,-7.530999022,13.70915357,0,225.5748247,2.827755733,5.499880909,2.977005611,26.28285821,0,-26.28285821,-1.288917421,-3.242308728,-1.119567576,13.58842657,215.3793467,13.40352993,221.0483764,6.210956963,-9.288546715,231.7931792,1.670346134,0,-19.56525446,321.1573799,5.017001049,6.177238026,3.836020787,0,0,591-FRA,1,31.28348803,Yes,1,N,X,0,32.2910702,-64.8478682,5
609,USA,0.454502881,-0.516155601,-0.451311171,139.7507111,2.050064063,2,171.0191259,5,1,18.41337379,-9.958566074,68.87200076,47.70134107,10.14917872,9.861463836,-20.13929259,126.4326482,-0.128648854,0.133456067,0,6.175036998,7.799961626,6.259585348,2.526764664,7.296544241,-20.13929259,7.296544241,-10.2778279,0,9.404443926,2.970802092,-0.128648854,2.999949711,20.27274936,0,20.27274936,6.331195186,0.133456067,-7.342876829,-10.2778279,3.889221131,350.3375053,22.45640524,-1.03566009,0.262104908,229.1344461,5.327762277,0,5.828759641,100.4166079,7.846817578,-1.12150767,10.20377755,0,0,609-USA,1,0.643538009,Yes,1,Y,USA-13,-12,32.2886219,-64.8410062,3
618,NZL,0.81772846,0.747739613,0.908191741,-33.95649036,41.49647369,2,221.4083137,1,5,25.57657225,6.269156151,68.87200076,67.50952145,-4.675281562,-3.257902904,22.34978086,236.8469728,14.41659639,10.73835596,0,-0.720769266,4.999916185,-10.40434947,2.429230416,6.299999578,22.41963491,-6.299999578,19.42999452,0,81.12431511,3.206805832,15.54767743,2.791949106,11.61142404,0,-11.60170127,-0.652329009,11.12604092,-0.648995344,19.09187796,256.1392519,29.44381853,122.6532859,5.692342407,-3.668516801,226.6734743,1.50928451,0,-19.75407846,316.0596272,4.986234462,5.579230205,3.322997168,0,0,618-NZL,1,31.53782874,Yes,1,Y,NZL-8,-13,32.2877182,-64.848147,5
641,ESP,0.784174263,0.852481663,0.76178205,75.47387037,84.92104111,2,131.8328006,5,1,306.21574,-10.27659676,68.87200076,69.06353292,7.586229639,5.646436278,-21.52322381,262.2477633,-8.290557039,-0.095716383,0,6.585332011,3.052143455,6.192080454,2.834288382,7.502087685,-21.45964499,7.502087685,-15.7010442,0,125.377944,4.987215021,-8.035610837,4.999916185,21.42750725,0,21.45615135,6.542108013,0.739191994,-0.532194733,-15.87678668,131.3765713,15.99634402,255.8975452,-0.957766265,8.223484581,330.5398468,3.104246486,0,69.21537486,187.8691479,3.303417577,-0.916755354,1.420449255,0,0,641-ESP,1,28.21922938,Yes,1,N,X,0,32.2857014,-64.843422,5
